sku	mfg	supplier	price	description
0538-UDL0006-0027-1	Divolight	CDLOG	310.4	Down Light Round 27W
0538-UDL0007-0027-1	Divolight	CDLOG	322.04	Down Light Round 27W
0538-UDL0008-0033-1	Divolight	CDLOG	361.81	Down Light Round 33W
0538-UDL0001-0009-1	Divolight	CDLOG	161.02	Down Light Round 9W
0512-UPL0002-0050-1W	Divolight	CDLOG	584.91	LED Panel 120x30 50W Day White
0512-UPL0002-0050-1WW	Divolight	CDLOG	584.91	LED Panel 120x30 50W Day White
0512-UPL0003-0025-1W	Divolight	CDLOG	499.55	LED Panel 60x30 25W Day White
0540-UPL0001-0050-1WW	Divolight	CDLOG	584.91	LED Panel 60x60 50W Warm White
0512-UPL0001-0050-1CW	Divolight	CDLOG	584.91	LED Panel 60x60 50W Cool White
0512-UPL0001-0050-1W	Divolight	CDLOG	584.91	LED Panel 60x60 50W Day White
0515-ULP0001-0008-1WW	Divolight	CDLOG	62.08	PLC Led Lamp 7.5W G24-2 Warm White
0515-ULP0001-0008-1W	Divolight	CDLOG	62.08	PLC Led Lamp 7.5W G24-2 Day White
0515-ULP0001-0008-1CW	Divolight	CDLOG	62.08	PLC Led Lamp 7.5W G24-2 Cool White
0515-USP0001-0005-1WW-E7	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W E27 Warm White Dimmable
0515-USP0001-0005-1W-E7	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W E27 Day White Dimmable
0515-USP0001-0005-1CW-E7	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W E27 Cool White Dimmable
0515-USP0001-0005-1WW-U1	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W GU10 Warm White Dimmable
0515-USP0001-0005-1W-U1	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W GU10 Day White Dimmable
0515-USP0001-0005-1CW-U1	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W GU10 Cool White Dimmable
0515-USP0001-0005-2W	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W GU5.3 Day White
0515-USP0001-0005-2CW	Divolight	CDLOG	43.65	Spot Led Light 60Deg 4.5W GU5.3 Cool White
0531-UDL0031-0006-1W	Divolight	CDLOG	137.74	Spot Light LED 3" 2X3W Day White
0531-UDL0032-0010-1W	Divolight	CDLOG	161.02	Spot Light LED 3" 2X5W Day White
